Common.Name,Scientific.Name,Code,Audubon.Habitat.Guild,Habitat,Start.Date,End.Date,Type,Vagrant,Group,Background,Threshold,Drop.BCR,Drop.from.M,Add.to.M,BCR.Mask,Season,Generation.Time,Dispersal.Distance,Dispersal.Rate
Costa's Hummingbird,Calypte costae,COHU,Sh,D,335,1,two-season,10,Aridlands,background_dec,tss,,,"33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66","34, 35, 36, 37, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 58, 59, 60, 61, 65",Non-Breeding,,,
Couch's Kingbird,Tyrannus couchii,COKI,Wd,F-S,1,366,resident,2,Subtropical.Forests,background_jan_dec,mo,,,,,Non-Breeding,,,
Crested Caracara,Caracara cheriway,CRCA,Sh,"D,F-S",1,366,resident,8,Aridlands,background_jan_dec,tss,,,,,Non-Breeding,,,
Crissal Thrasher,Toxostoma crissale,CRTH,Sh,D,1,366,resident,2,Aridlands,background_jan_dec,om_10,,"5, 10, 17",,,Non-Breeding,,,
Curve-billed Thrasher,Toxostoma curvirostre,CBTH,Sh,D,1,366,resident,3,Aridlands,background_jan_dec,mo,,"5, 9, 10, 11, 15, 17, 22, 27",40,"32, 40, 42",Non-Breeding,,,
Dark-eyed Junco,Junco hyemalis,DEJU,Wd,"F-W,F-B",1,60,two-season,2,Western.Forests,background_jan_feb,custom,,,,"1,2,40,42,43,45,46,47,48,50,51,52,53,54,58,60",Non-Breeding,,,
Dickcissel,Spiza americana,DICK,Gr,G,335,32,two-season,2,Grasslands,background_jan_feb,tss,,,,"4,5,12,13,14,22,23,24,26,27,28,29,30,100",Non-Breeding,,,
Double-crested Cormorant,Phalacrocorax auritus,DCCO,Wet,GEN,1,60,two-season,2,Waterbirds,background_jan_feb,om_10,,,,,Non-Breeding,,,
Dovekie,Alle alle,DOVE,Wet,"O,C",1,60,two-season,2,Coastal,background_jan_feb,mk,,,"3,1,2,8,5","1,2,4,5,6,9,10",Non-Breeding,,,
Downy Woodpecker,Picoides pubescens,DOWO,Wd,"F-E,F-B,F-W",1,366,resident,2,Generalists,background_jan_dec,custom,,,,"33,34,35 36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,56,57,58,59,60,61,65,66",Non-Breeding,,,
Dunlin,Calidris alpina,DUNL,Wet,A,1,60,two-season,2,Waterbirds,background_jan_feb,tss,"34,18,21,24,26,28,10,13,7,3,28,29,100,35",,,"3,4,7,6,8,100,9",Non-Breeding,,,
Dusky Flycatcher,Empidonax oberholseri,DUFL,Wd,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,mk,,,,,Non-Breeding,,,
Dusky Grouse,Dendragapus obscurus,DUGR,Wd,F-W,1,366,resident,2,Western.Forests,background_jan_dec,mo,"1,2,5,15,32",,,"1,2,5,15,32,35,47",Non-Breeding,,,
Dusky-capped Flycatcher,Myiarchus tuberculifer,DCFL,Wd,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,mk,,,,,Non-Breeding,,,
Eared Grebe,Podiceps nigricollis,EAGR,Wet,M,1,60,two-season,10,Marshlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Eastern Bluebird,Sialia sialis,EABL,Wd,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,om_10,,,,"32,15,5,9,11,17,10,6,2,1",Non-Breeding,,,
Eastern Meadowlark,Sturnella magna,EAME,Gr,G,335,32,two-season,2,Grasslands,background_jan_feb,tss,,,,,Non-Breeding,,,
Eastern Phoebe,Sayornis phoebe,EAPH,Wd,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Eastern Screech-Owl,Megascops asio,EASO,Wd,F-E,1,366,resident,2,Eastern.Forests,background_jan_dec,om_10,,"6,10,46,49,52",,"0,9,10,16,32,33,34,38,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,56,57,58,59,60,61,65,66",Non-Breeding,,,
Eastern Towhee,Pipilo erythrophthalmus,EATO,Sh,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,custom,13,"11,36",,"5,34,36,43,44,45,46,47,48,49,50,51,52,53,54,56,58,59,60,61",Non-Breeding,,,
Eastern Whip-poor-will,Antrostomus vociferus,EWPW,Wd,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Eurasian Collared-Dove,Streptopelia decaocto,EUCD,U,Urban/Suburban,1,366,resident,2,Urban.Suburban,background_jan_dec,custom,,,,"1,2,8",Non-Breeding,,,
Eurasian Tree Sparrow,Passer montanus,ETSP,U,Urban/Suburban,1,366,resident,2,Urban.Suburban,background_jan_dec,tss,,,,,Non-Breeding,,,
Eurasian Wigeon,Anas penelope,EUWI,Wet,GEN,1,60,wintering,2,Marshlands,background_jan_feb,mk,,,,,Non-Breeding,,,
European Starling,Sturnus vulgaris,EUST,U,GEN,1,60,two-season,2,Generalists,background_jan_feb,custom,"4,47,42,100",,,,Non-Breeding,,,
Evening Grosbeak,Coccothraustes vespertinus,EVGR,Wd,"F-B,F-W",1,366,two-season,2,Boreal.Forests,background_jan_dec,om_10,,,,"1,2",Non-Breeding,,,
Ferruginous Hawk,Buteo regalis,FEHA,Gr,G,335,32,two-season,2,Grasslands,background_jan_feb,tss,,,,,Non-Breeding,,,
Ferruginous Pygmy-Owl,Glaucidium brasilianum,FEPO,Wd,D,1,366,resident,5,Aridlands,background_jan_dec,tss,,9,31,31,Non-Breeding,,,
Field Sparrow,Spizella pusilla,FISP,Sh,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,om_10,"11,12","8,11,34,46,48,49,52",,"5,9,10,15,16,32,33,34,35,43,45,46,47,48,49,50,51,52,53,54,60",Non-Breeding,,,
Fish Crow,Corvus ossifragus,FICR,U,Gen,1,366,resident,2,Generalists,background_jan_dec,eq,,,,"47,48,52,54,56,57",Non-Breeding,,,
Florida Scrub-Jay,Aphelocoma coerulescens,FLSJ,Sh,F-E,1,366,resident,2,Subtropical.Forests,background_jan_dec,tss,,,,"36,37,38,43,44,45,47,48,49,50,52,53,54,56,58,59,60,61,26,21",Non-Breeding,,,
Forster's Tern,Sterna forsteri,FOTE,Wet,"C,M",1,60,two-season,2,Marshlands,background_jan_feb,om_10,,,,,Non-Breeding,,,
Fox Sparrow,Passerella iliaca,FOSP,Sh,"F-W,F-B",1,60,two-season,2,Boreal.Forests,background_jan_feb,om_10,"0,2,4,6,7,8,11,12,13,14,17,23,100","0,100",,"33,34,43,45,46,47,48,50,51,52,53,54,58,60",Non-Breeding,,,
Fulvous Whistling-Duck,Dendrocygna bicolor,FUWD,Wet,M,1,60,two-season,2,Marshlands,background_jan_feb,mo,,,,,Non-Breeding,,,
Gadwall,Anas strepera,GADW,Wet,GEN,1,60,two-season,2,Marshlands,background_jan_feb,om_10,,,,,Non-Breeding,,,
Gambel's Quail,Callipepla gambelii,GAQU,Sh,D,1,366,resident,21,Aridlands,background_jan_dec,mk,"16, 35","10, 17","18, 19, 20, 21, 36","32, 35, 40, 41",Non-Breeding,,,
Gila Woodpecker,Melanerpes uropygialis,GIWO,Wd,D,1,366,resident,6,Aridlands,background_jan_dec,mo,,"5, 9, 15, 18, 19",,"18, 19, 21, 35, 36, 37, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 58, 59, 60",Non-Breeding,,,
Gilded Flicker,Colaptes chrysoides,GIFL,Wd,D,1,366,resident,3,Aridlands,background_jan_dec,mo,,,"20, 36, 48, 49, 50","34, 35, 36, 43, 45, 46, 47, 48, 50, 51, 53, 54",Non-Breeding,,,
Glaucous Gull,Larus hyperboreus,GLGU,Wet,A,1,60,two-season,2,Waterbirds,background_jan_feb,tss,"35,11,17,21,16,24,25,37,27,31,33,32,15,19,22,18",,,,Non-Breeding,,,
Glaucous-winged Gull,Larus glaucescens,GWGU,Wet,C,1,60,two-season,2,Coastal,background_jan_feb,om_10,"10,18",,"14,30,29,27,31,37","34,35,39,40,41,43,45,46,47,48,50,52,53,54,58,60",Non-Breeding,,,
Glossy Ibis,Plegadis falcinellus,GLIB,Wet,"C,F-S",1,60,two-season,2,Marshlands,background_jan_feb,eq,,,,,Non-Breeding,,,
Golden Eagle,Aquila chrysaetos,GOEA,Gr,GEN,1,60,two-season,2,Generalists,background_jan_feb,om_10,"14,28,13,30,12",,,,Non-Breeding,,,
Golden-cheeked Warbler,Setophaga chrysoparia,GCWA,Wd,F-W,1,60,two-season,2,Subtropical.Forests,background_jan_feb,mk,,,,"0,34,35,43,45,46,47,48,50",Non-Breeding,,,
Golden-crowned Kinglet,Regulus satrapa,GCKI,Wd,"F-W,F-E,F-B",1,60,two-season,2,Boreal.Forests,background_jan_feb,tss,"4,6,7,8,12",,,,Non-Breeding,,,
Golden-crowned Sparrow,Zonotrichia atricapilla,GCSP,Sh,"A,F-B",1,60,two-season,2,Boreal.Forests,background_jan_feb,eq,"2,4",,,,Non-Breeding,,,
Golden-fronted Woodpecker,Melanerpes aurifrons,GFWO,Wd,F-S,1,366,resident,2,Subtropical.Forests,background_jan_dec,mk,,,,"31,32,33,40,42,43,44",Non-Breeding,,,
Grace's Warbler,Setophaga graciae,GRWA,Wd,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,eq,,,,,Non-Breeding,,,
Grasshopper Sparrow,Ammodramus savannarum,GRSP,Gr,G,335,32,two-season,2,Grasslands,background_jan_feb,tss,,,,,Non-Breeding,,,
Gray Catbird,Dumetella carolinensis,GRCA,Sh,"F-E,F-W",1,60,two-season,2,Eastern.Forests,background_jan_feb,tss,"0,13,14,22,24","13,14,19,22,24,35,45,46,47",,,Non-Breeding,,,
Gray Flycatcher,Empidonax wrightii,GRFL,Var,F-W,1,60,two-season,2,Aridlands,background_jan_feb,eq,,,,,Non-Breeding,,,
Gray Hawk,Buteo plagiatus,GRHA,Wd,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,mo,,,,,Non-Breeding,,,
Gray Partridge,Perdix perdix,GRAP,Gr,G,1,366,resident,2,Grasslands,background_jan_dec,tss,,,,"2,4,5",Non-Breeding,,,
Gray Vireo,Vireo vicinior,GRVI,Sh,F-W,1,60,two-season,2,Aridlands,background_jan_feb,mo,,,,,Non-Breeding,,,
Gray-crowned Rosy-Finch,Leucosticte tephrocotis,GCRF,Var,A,1,60,two-season,3,Arctic,background_jan_feb,mo,"1, 4, 6, 11",,"3, 7, 8","3, 7, 8",Non-Breeding,,,
Great Black-backed Gull,Larus marinus,GBBG,Wet,GEN,1,60,two-season,10,Coastal,background_jan_feb,om_10,18,,,"5,4,1,2,10",Non-Breeding,,,
Great Blue Heron,Ardea herodias,GBHE,Wet,GEN,1,60,two-season,2,Waterbirds,background_jan_feb,custom,"6,7,8,11,12,3,1,2,15,34,35,46,47,50",,,"6,7,8,3,1,2,46,47,50",Non-Breeding,,,
Great Cormorant,Phalacrocorax carbo,GRCO,Wet,C,1,60,two-season,2,Coastal,background_jan_feb,eq,31,"23,24,26,22","10,37,1,2,5,55,56,4","1,2",Non-Breeding,,,
Great Crested Flycatcher,Myiarchus crinitus,GCFL,Wd,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Great Egret,Ardea alba,GREG,Wet,GEN,1,60,two-season,2,Waterbirds,background_jan_feb,custom,"13,22,100,18,23",,,,Non-Breeding,,,
Great Gray Owl,Strix nebulosa,GGOW,Wd,F-B,1,366,resident,2,Boreal.Forests,background_jan_dec,tss,,,,"16,18,33,34,35,39,47,48",Non-Breeding,,,
Great Horned Owl,Bubo virginianus,GHOW,Wd,GEN,1,366,resident,2,Generalists,background_jan_dec,om_10,,,,,Non-Breeding,,,
Great Kiskadee,Pitangus sulphuratus,GKIS,Wd,F-S,1,366,resident,2,Subtropical.Forests,background_jan_dec,mo,,,,,Non-Breeding,,,
Greater Prairie-Chicken,Tympanuchus cupido,GRPC,Gr,G,1,366,resident,2,Grasslands,background_jan_dec,tss,,,,,Non-Breeding,,,
Greater Roadrunner,Geococcyx californianus,GRRO,Sh,D,1,366,resident,2,Aridlands,background_jan_dec,mk,,"5, 10, 11, 13, 17, 23, 100",29,,Non-Breeding,,,
Greater Sage-Grouse,Centrocercus urophasianus,GRSG,Sh,D,1,366,resident,2,Aridlands,background_jan_dec,tss,,,,,Non-Breeding,,,
Greater Scaup,Aythya marila,GRSC,Wet,"A,F-B",1,60,two-season,2,Waterbirds,background_jan_feb,om_10,"31,34,35,19,7",3,,"7,8,3,46,47,48,49,51,52,53,54,58",Non-Breeding,,,
Greater White-fronted Goose,Anser albifrons,GWFG,Wet,A,1,60,two-season,2,Waterbirds,background_jan_feb,om_10,"40,42,31,10,14,17,22,27,28,29,24,23,13,2,0,11,16,19,30,100,18,9",,,,Non-Breeding,,,
Greater Yellowlegs,Tringa melanoleuca,GRYE,Wet,F-B,1,60,two-season,2,Waterbirds,background_jan_feb,om_10,"17,11,28,22,24,16,10,11,22,11,22,24,20,21,25,8,12,13,100,7,9",,,,Non-Breeding,,,
Great-tailed Grackle,Quiscalus mexicanus,GTGR,Var,GEN,1,366,resident,2,Generalists,background_jan_dec,eq,,,,31,Non-Breeding,,,
Green Heron,Butorides virescens,GRHE,Wet,GEN,1,60,two-season,10,Marshlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Green Jay,Cyanocorax yncas,GRJA,Wd,F-S,1,366,resident,2,Subtropical.Forests,background_jan_dec,eq,,,,"31,43,44",Non-Breeding,,,
Green Kingfisher,Chloroceryle americana,GKIN,Wet,F-S,1,366,resident,2,Waterbirds,background_jan_dec,custom,,,,"31,40,42,27",Non-Breeding,,,
Green-tailed Towhee,Pipilo chlorurus,GTTO,Sh,D,1,60,two-season,5,Aridlands,background_jan_feb,tss,16,5,,,Non-Breeding,,,
Green-winged Teal,Anas crecca,GWTE,Wet,GEN,1,60,two-season,2,Marshlands,background_jan_feb,eq,,,,,Non-Breeding,,,
Groove-billed Ani,Crotophaga sulcirostris,GBAN,Sh,F-S,1,366,resident,2,Subtropical.Forests,background_jan_dec,mo,"16,17,18,19,20,21,25,26,27,32",,,,Non-Breeding,,,
Gull-billed Tern,Gelochelidon nilotica,GBTE,Wet,C,1,60,two-season,2,Coastal,background_jan_feb,tss,,,,5,Non-Breeding,,,
Gyrfalcon,Falco rusticolus,GYRF,Gr,A,1,60,two-season,2,Arctic,background_jan_dec,tss,,,,"15, 16, 18, 19, 22, 24, 28, 30, 32, 33, 34, 35, 39, 48",Non-Breeding,,,
Hairy Woodpecker,Picoides villosus,HAWO,Wd,"F-E,F-B,F-W",1,366,resident,2,Generalists,background_jan_dec,om_10,,,,,Non-Breeding,,,
Hammond's Flycatcher,Empidonax hammondii,HAFL,Wd,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,tss,,,,"40,42",Non-Breeding,,,
Harlequin Duck,Histrionicus histrionicus,HADU,Wet,"F-W,F-B",1,60,two-season,2,Waterbirds,background_jan_feb,mk,"10,9,11,28,29,12,27,22,23,13,0,100,32",,,,Non-Breeding,,,
Harris's Hawk,Parabuteo unicinctus,HASH,Sh,D,1,366,resident,7,Aridlands,background_jan_dec,mk,,"5, 17, 22","31, 55, 56","55, 56",Non-Breeding,,,
Harris's Sparrow,Zonotrichia querula,HASP,Sh,F-B,1,60,two-season,16,Boreal.Forests,background_jan_feb,mo,"5,9,10,12,13,33,34",,,"3,4,6",Non-Breeding,,,
Heermann's Gull,Larus heermanni,HEEG,Wet,C,1,366,resident,2,Coastal,background_jan_dec,custom,,,,"55,56,66,65,52,49,48,36,37,31",Non-Breeding,,,
Henslow's Sparrow,Ammodramus henslowii,HESP,Gr,G,335,32,two-season,2,Grasslands,background_jan_feb,tss,,,,,Non-Breeding,,,
Hepatic Tanager,Piranga flava,HETA,Wd,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,tss,,,,"40,42",Non-Breeding,,,
Hermit Thrush,Catharus guttatus,HETH,Wd,"F-E,F-W,F-B",1,60,two-season,2,Western.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Hermit Warbler,Setophaga occidentalis,HEWA,Wd,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Herring Gull,Larus argentatus,HERG,Wet,GEN,1,60,two-season,2,Waterbirds,background_jan_feb,custom,,,,,Non-Breeding,,,
Hoary Redpoll,Acanthis hornemanni,HORE,Sh,A,1,60,two-season,2,Arctic,background_jan_feb,eq,,,," 5, 9, 10, 16",Non-Breeding,,,
Hooded Merganser,Lophodytes cucullatus,HOME,Wet,"F-B,F-E",1,60,two-season,2,Waterbirds,background_jan_feb,om_10,,,,,Non-Breeding,,,
Hooded Oriole,Icterus cucullatus,HOOR,Wd,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Hooded Warbler,Setophaga citrina,HOWA,Wd,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,custom,,"34,35,36,43",,31,Non-Breeding,,,
Hook-billed Kite,Chondrohierax uncinatus,HBKI,Wd,F-S,1,366,resident,2,Subtropical.Forests,background_jan_dec,mo,,,,,Non-Breeding,,,
Horned Grebe,Podiceps auritus,HOGR,Wet,M,1,60,two-season,10,Marshlands,background_jan_feb,om_10,,,,,Non-Breeding,,,
Horned Lark,Eremophila alpestris,HOLA,Gr,G,335,32,two-season,6,Grasslands,background_jan_feb,tss,,,,,Non-Breeding,,,
House Finch,Haemorhous mexicanus,HOFI,Var,GEN,1,366,resident,2,Generalists,background_jan_dec,om_10,,,,,Non-Breeding,,,
House Sparrow,Passer domesticus,HOSP,U,Urban/Suburban,1,366,resident,2,Urban.Suburban,background_jan_dec,custom,,,,"1,2",Non-Breeding,,,
House Wren,Troglodytes aedon,HOWR,Wd,"F-E,F-W",1,60,two-season,2,Generalists,background_jan_feb,om_10,"6,11,18,22,5,9,16,55,56,57,24,19",,,,Non-Breeding,,,
Hutton's Vireo,Vireo huttoni,HUVI,Wd,F-W,1,366,resident,2,Western.Forests,background_jan_dec,tss,,,,,Non-Breeding,,,
Iceland Gull,Larus glaucoides,ICGU,Wet,"A,C",1,60,two-season,2,Coastal,background_jan_feb,om_10,"31,11,4,25,16,17,35,19,10,28,0",,"1,2,3",,Non-Breeding,,,
Inca Dove,Columbina inca,INDO,Sh,D,1,366,resident,4,Aridlands,background_jan_dec,om_10,,,,"31, 40, 42, 55, 56",Non-Breeding,,,
Indigo Bunting,Passerina cyanea,INBU,Wd,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,tss,"27,29,36,37,43",,,,Non-Breeding,,,
Juniper Titmouse,Baeolophus ridgwayi,JUTI,Wd,F-W,1,366,resident,2,Western.Forests,background_jan_dec,mo,,,,,Non-Breeding,,,
Kentucky Warbler,Geothlypis formosa,KEWA,Wd,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Killdeer,Charadrius vociferus,KILL,Var,GEN,1,60,two-season,2,Waterbirds,background_jan_feb,custom,,,,,Non-Breeding,,,
King Eider,Somateria spectabilis,KIEI,Wet,A,1,60,two-season,2,Waterbirds,background_jan_feb,om_10,,,,"100,32,15,9,10,4,12,23,22,13,28,16,6,11,24",Non-Breeding,,,
King Rail,Rallus elegans,KIRA,Wet,M,1,60,two-season,2,Marshlands,background_jan_feb,eq,,,,,Non-Breeding,,,
Ladder-backed Woodpecker,Picoides scalaris,LBWO,Wd,D,1,366,resident,2,Aridlands,background_jan_dec,tss,,,,31,Non-Breeding,,,
Lapland Longspur,Calcarius lapponicus,LALO,Gr,A,1,60,two-season,4,Arctic,background_jan_feb,om_10,,,,,Non-Breeding,,,
Lark Bunting,Calamospiza melanocorys,LARB,Gr,G,335,32,two-season,2,Grasslands,background_jan_feb,tss,,,,,Non-Breeding,,,
Lark Sparrow,Chondestes grammacus,LASP,Var,D,1,60,two-season,10,Aridlands,background_jan_feb,om_10,,,,"55, 56",Non-Breeding,,,
Laughing Gull,Leucophaeus atricilla,LAGU,Wet,C,1,60,two-season,2,Coastal,background_jan_feb,custom,"0,2,34,32,4,5,100",,,,Non-Breeding,,,
Lawrence's Goldfinch,Spinus lawrencei,LAGO,Var,D,1,60,two-season,3,Aridlands,background_jan_feb,mk,32,,,"18, 19, 28, 34, 35, 36, 46, 47, 48, 51, 53, 54",Non-Breeding,,,
Lazuli Bunting,Passerina amoena,LAZB,Sh,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,mo,,,,,Non-Breeding,,,
Le Conte's Sparrow,Ammodramus leconteii,LCSP,Wet,G,335,32,two-season,2,Grasslands,background_jan_feb,tss,,,,,Non-Breeding,,,
Le Conte's Thrasher,Toxostoma lecontei,LCTH,Sh,D,1,366,resident,2,Aridlands,background_jan_dec,tss,,,,"18, 35",Non-Breeding,,,
Least Bittern,Ixobrychus exilis,LEBI,Wet,M,1,60,two-season,2,Marshlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Least Flycatcher,Empidonax minimus,LEFL,Wd,"F-E,F-B",1,60,two-season,4,Boreal.Forests,background_jan_feb,om_10,"0,13,100","0,100",,"1,2,42",Non-Breeding,,,
Least Grebe,Tachybaptus dominicus,LEGR,Wet,M,1,366,resident,2,Marshlands,background_jan_dec,mk,,,31,,Non-Breeding,,,
Least Sandpiper,Calidris minutilla,LESA,Wet,F-B,1,60,two-season,2,Waterbirds,background_jan_feb,custom,"11,16,7,12,13,100,9,16,8,22,23,24,28,29",,,,Non-Breeding,,,
Lesser Black-backed Gull,Larus fuscus,LBBG,Wet,GEN,1,60,two-season,2,Coastal,background_jan_feb,tss,"33,34,35,16,32,9,10,18",,,"9,10,6,4,2,5",Non-Breeding,,,
Lesser Goldfinch,Spinus psaltria,LEGO,Var,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,eq,,,,,Non-Breeding,,,
Lesser Nighthawk,Chordeiles acutipennis,LENI,Sh,D,1,60,two-season,9,Aridlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Lesser Prairie-Chicken,Tympanuchus pallidicinctus,LEPC,Sh,G,1,366,resident,2,Grasslands,background_jan_dec,tss,,,,,Non-Breeding,,,
Lesser Scaup,Aythya affinis,LESC,Wet,F-B,1,60,two-season,2,Waterbirds,background_jan_feb,om_10,,,,,Non-Breeding,,,
Lesser Yellowlegs,Tringa flavipes,LEYE,Wet,F-B,1,60,two-season,2,Waterbirds,background_jan_feb,eq,"11,6,18,28,29,9,6,8,12,13,7,5,22,24",,,,Non-Breeding,,,
Lewis's Woodpecker,Melanerpes lewis,LEWO,Wd,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,mo,,,,,Non-Breeding,,,
Limpkin,Aramus guarauna,LIMP,Wet,"F-S,F-E",1,366,resident,3,Marshlands,background_jan_dec,mk,,,,,Non-Breeding,,,
Lincoln's Sparrow,Melospiza lincolnii,LISP,Sh,"F-W,F-B",1,60,two-season,5,Boreal.Forests,background_jan_feb,custom,"0,4,7,8,10,11,13,15,22,24,28,29,30,100","0,100",,"55,56,57",Non-Breeding,,,
Little Blue Heron,Egretta caerulea,LBHE,Wet,GEN,1,60,two-season,2,Marshlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Little Gull,Hydrocoloeus minutus,LIGU,Wet,F-B,1,60,wintering,2,Coastal,background_jan_feb,tss,"7,24,25,21,22,100",,"1,2,4,7","1,2,4,10",Non-Breeding,,,
Loggerhead Shrike,Lanius ludovicianus,LOSH,Sh,"G,D",335,32,two-season,2,Grasslands,background_jan_feb,tss,,,,,Non-Breeding,,,
Long-billed Curlew,Numenius americanus,LBCU,Gr,G,335,32,two-season,2,Grasslands,background_jan_feb,tss,,,,,Non-Breeding,,,
Long-billed Dowitcher,Limnodromus scolopaceus,LBDO,Wet,A,1,60,two-season,2,Waterbirds,background_jan_feb,om_10,,,,,Non-Breeding,,,
Long-billed Thrasher,Toxostoma longirostre,LBTH,Sh,F-S,1,366,resident,2,Subtropical.Forests,background_jan_dec,mk,,,,,Non-Breeding,,,
Long-eared Owl,Asio otus,LEOW,Wd,"F-W,F-E",1,60,two-season,2,Western.Forests,background_jan_feb,tss,,,,"1,2,3",Non-Breeding,,,
Long-tailed Duck,Clangula hyemalis,LTDU,Wet,A,1,60,two-season,2,Waterbirds,background_jan_feb,eq,"32,16,33,37,11,24,9,17,29,1,35,1,26,19,10,31,21,18,28,27",,,,Non-Breeding,,,
Louisiana Waterthrush,Parkesia motacilla,LOWA,Wd,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,mk,,,,,Non-Breeding,,,
Lucy's Warbler,Oreothlypis luciae,LUWA,Sh,D,1,60,two-season,7,Aridlands,background_jan_feb,mk,,,,"2, 5, 9, 10, 55, 56",Non-Breeding,,,
MacGillivray's Warbler,Geothlypis tolmiei,MGWA,Sh,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,mk,,,,,Non-Breeding,,,
Magnificent Frigatebird,Fregata magnificens,MAFR,Wet,"O,C",1,366,resident,2,Coastal,background_jan_dec,eq,"100,26,30,27,37",,,,Non-Breeding,,,
Magnolia Warbler,Setophaga magnolia,MAWA,Wd,"F-B,F-E",1,60,two-season,2,Boreal.Forests,background_jan_feb,mk,"0,7,8,12,13,100","0,100",,,Non-Breeding,,,
Mallard,Anas platyrhynchos,MALL,Wet,GEN,1,60,two-season,10,Waterbirds,background_jan_feb,custom,,,,,Non-Breeding,,,
Mangrove Cuckoo,Coccyzus minor,MACU,Wd,C,1,366,resident,2,Coastal,background_jan_dec,tss,33,,,"40,42,10,17,11,16,18,19,41,39,15,32,5,9,35,34",Non-Breeding,,,
Marbled Godwit,Limosa fedoa,MAGO,Wet,G,1,60,two-season,4,Marshlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Marbled Murrelet,Brachyramphus marmoratus,MAMU,Wet,"C,F-W",1,60,two-season,2,Coastal,background_jan_feb,tss,,"9,10","30,14,13,12,8,7,27","3,7,8",Non-Breeding,,,
Marsh Wren,Cistothorus palustris,MAWR,Wet,"M,C",1,60,two-season,9,Marshlands,background_jan_feb,eq,,,,,Non-Breeding,,,
McCown's Longspur,Rhynchophanes mccownii,MCLO,Gr,G,335,32,two-season,2,Grasslands,background_jan_feb,tss,,,,,Non-Breeding,,,
Merlin,Falco columbarius,MERL,Wd,"F-B,F-E",1,60,two-season,2,Eastern.Forests,background_jan_feb,custom,,,,,Non-Breeding,,,
Mew Gull,Larus canus,MEGU,Wet,"C,F-B",1,60,wintering,2,Coastal,background_jan_feb,eq,"35,30,100,33,22,14,16,8,18,10,0",,,"7,8,13,14,27,28,29,30,33,34,43,47,48",Non-Breeding,,,
Mexican Jay,Aphelocoma wollweberi,MEJA,Wd,F-W,1,366,resident,2,Subtropical.Forests,background_jan_dec,tss,,,,,Non-Breeding,,,
Monk Parakeet,Myiopsitta monachus,MOPA,U,Urban/Suburban,1,366,resident,2,Urban.Suburban,background_jan_dec,eq,,,,,Non-Breeding,,,
Montezuma Quail,Cyrtonyx montezumae,MONQ,Wd,F-W,1,366,resident,2,Subtropical.Forests,background_jan_dec,om_10,,,,"40,42",Non-Breeding,,,
Mottled Duck,Anas fulvigula,MODU,Wet,"C,M",1,366,resident,5,Marshlands,background_jan_dec,tss,,,33,,Non-Breeding,,,
Mountain Bluebird,Sialia currucoides,MOBL,Sh,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Mountain Chickadee,Poecile gambeli,MOCH,Wd,F-W,1,366,resident,2,Western.Forests,background_jan_dec,om_10,,,,"1,2,3,7",Non-Breeding,,,
