Common.Name,Scientific.Name,Code,Audubon.Habitat.Guild,Habitat,Start.Date,End.Date,Type,Vagrant,Group,Background,Threshold,Drop.BCR,Drop.from.M,Add.to.M,BCR.Mask,Season,Generation.Time,Dispersal.Distance,Dispersal.Rate
Black-crested Titmouse,Baeolophus atricristatus,BCTI,Wd,"F-W,F-S",1,366,resident,2,Subtropical.Forests,background_jan_dec,om_10,,,,"33,34,41,42,43,51,52,54,59,60",Non-Breeding,,,
Black-crowned Night-Heron,Nycticorax nycticorax,BCNH,Wet,GEN,1,60,two-season,2,Marshlands,background_jan_feb,eq,5,,,,Non-Breeding,,,
Black-headed Grosbeak,Pheucticus melanocephalus,BHGR,Wd,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Black-headed Gull,Chroicocephalus ridibundus,BHGU,Wet,C,1,60,two-season,11,Coastal,background_jan_feb,om_10,"29,30",,,"1,2,4,5",Non-Breeding,,,
Black-legged Kittiwake,Rissa tridactyla,BLKI,Wet,"O,C",1,60,two-season,3,Coastal,background_jan_feb,eq,"22,37,29,44,0,100,1,2,3",,,"36,37,49,52,65",Non-Breeding,,,
Black-necked Stilt,Himantopus mexicanus,BNST,Wet,GEN,1,60,two-season,2,Marshlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Black-tailed Gnatcatcher,Polioptila melanura,BTGN,Sh,D,1,366,resident,8,Aridlands,background_jan_dec,mk,,,,"40, 42",Non-Breeding,,,
Black-throated Gray Warbler,Setophaga nigrescens,BTYW,Var,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,mo,,,,,Non-Breeding,,,
Black-throated Green Warbler,Setophaga virens,BTNW,Wd,"F-E,F-B",1,60,two-season,2,Eastern.Forests,background_jan_feb,tss,,,,"43,44,33,34,42",Non-Breeding,,,
Black-throated Sparrow,Amphispiza bilineata,BTSP,Sh,D,1,60,two-season,6,Aridlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Black-vented Shearwater,Puffinus opisthomelas,BVSH,Wet,"O,C",1,60,two-season,2,Coastal,background_jun_jul,tss,45,,7,33,Non-Breeding,,,
Blue Grosbeak,Passerina caerulea,BLGR,Sh,"F-E,F-W",1,60,two-season,2,Subtropical.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Blue Jay,Cyanocitta cristata,BLJA,Wd,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,tss,"32,37,45,47","21,26,27,45,47",,,Non-Breeding,,,
Blue-gray Gnatcatcher,Polioptila caerulea,BGGN,Wd,"F-E,F-W",1,60,two-season,2,Generalists,background_jan_feb,tss,,,,,Non-Breeding,,,
Blue-headed Vireo,Vireo solitarius,BHVI,Wd,"F-E,F-B,F-W",1,60,two-season,2,Eastern.Forests,background_jan_feb,mo,,,,,Non-Breeding,,,
Blue-winged Teal,Anas discors,BWTE,Wet,G,1,60,two-season,9,Marshlands,background_jan_feb,eq,,,,,Non-Breeding,,,
Blue-winged Warbler,Vermivora cyanoptera,BWWA,Sh,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,tss,,,,,Non-Breeding,,,
Boat-tailed Grackle,Quiscalus major,BTGR,Wet,"C,M",1,366,resident,14,Coastal,background_jan_dec,om_10,,,,"48,49,52,56,57",Non-Breeding,,,
Bohemian Waxwing,Bombycilla garrulus,BOWA,Wd,F-B,1,60,two-season,2,Boreal.Forests,background_jan_feb,eq,"0,4,6,7,8,23,34",0,,,Non-Breeding,,,
Bonaparte's Gull,Chroicocephalus philadelphia,BOGU,Wet,F-B,1,60,two-season,2,Waterbirds,background_jan_feb,om_10,"6,8,11",,,,Non-Breeding,,,
Boreal Chickadee,Poecile hudsonicus,BOCH,Wd,F-B,1,366,resident,2,Boreal.Forests,background_jan_dec,mk,,,,34,Non-Breeding,,,
Boreal Owl,Aegolius funereus,BOOW,Wd,F-B,1,366,resident,2,Boreal.Forests,background_jan_dec,mk,,,,,Non-Breeding,,,
Botteri's Sparrow,Peucaea botterii,BOSP,Gr,"D,G",1,366,resident,2,Grasslands,background_jan_dec,tss,,,,,Non-Breeding,,,
Brandt's Cormorant,Phalacrocorax penicillatus,BRAC,Wet,C,1,60,two-season,2,Coastal,background_jan_feb,custom,,,,"31,34,36,37,48,49,52,53,65,7,8,3",Non-Breeding,,,
Brant,Branta bernicla,BRAN,Wet,A,1,60,two-season,2,Waterbirds,background_jan_feb,om_10,"13,16,18",,,"12,13,22,23,24,28,34,35,45,46,47,48,50,51,53,54,100,9,10",Non-Breeding,,,
